Unnamed: 0,Country,Deaths / million,Deaths,Cases
,World[a],894,7114321,779135536
,Peru,6603,221071,4533813
,Bulgaria,5681,38778,1341094
,North Macedonia,5429,9991,352093
,Bosnia and Herzegovina,5123,16419,404289
,Hungary,5072,49124,2240875
,Croatia,4813,18805,1371673
,Slovenia,4686,9914,1366916
,Georgia,4519,17151,1864337
,Montenegro,4317,2654,251280
,Czech Republic,4116,43931,4887336
,Latvia,4114,7740,977803
,Moldova,4042,12290,656460
,Slovakia,3910,21401,1889897
,Greece,3865,40253,5866360
,San Marino,3693,126,25292
,United States,3625,1238189,103436829
,Romania,3604,69095,3604040
,Lithuania,3525,9931,1449088
,United Kingdom,3404,232112,25117625
,Brazil,3347,703961,38024465
,Italy,3329,198523,26969913
,Chile,3298,64497,5410524
,Martinique,3159,1104,230354
,Poland,3152,120993,6843668
,Armenia,3049,8785,454900
,Gibraltar,3002,113,20550
,Belgium,2949,34339,4908203
,Paraguay,2940,19880,735759
,Trinidad and Tobago,2934,4390,191496
,Argentina,2881,130846,10119347
,Portugal,2847,29663,5671586
,European Union[b],2831,1270769,186985838
,Sweden,2812,29496,2787291
,Russia,2777,404290,24901467
,Colombia,2760,142812,6403299
,Aruba,2708,292,44224
,Ukraine,2678,109937,5555510
,Serbia,2658,18057,2568005
,Guadeloupe,2654,1021,203235
,France,2616,168207,39060446
,Mexico,2605,335106,7630026
,Estonia,2549,3442,617836
,Spain,2548,121886,13980340
,Bermuda,2547,165,18860
,Guam,2536,419,52287
,Austria,2485,22534,6083790
,Tunisia,2427,29423,1153361
,French Polynesia,2318,650,79451
,Saint Lucia,2293,410,30254
,Uruguay,2269,7696,1043251
,Liechtenstein,2262,89,21649
,Suriname,2256,1406,82519
,Sint Maarten,2182,92,11051
,Bahamas,2135,849,39127
,Malta,2135,1128,125314
,Barbados,2100,593,109142
,Germany,2080,174979,38437953
,Finland,2058,11466,1518514
,Grenada,2035,238,19693
,Ecuador,2023,36064,1082192
,Panama,2007,8834,1045692
,Andorra,1994,159,48015
,Republic of Ireland,1913,9779,1754198
,Lebanon,1905,10947,1239904
,Kosovo,1869,3212,274279
,Bolivia,1853,22389,1212185
,Costa Rica,1848,9396,1242734
,Puerto Rico,1832,5938,1252713
,Hong Kong,1798,13466,2876106
,Montserrat,1787,8,1403
,Monaco,1720,67,17181
,Belize,1708,688,71493
,Denmark,1696,10012,3453680
,British Virgin Islands,1669,64,7661
,Curaçao,1645,305,45883
,South Africa,1644,102595,4073188
,Iran,1640,146837,7627863
,Switzerland,1611,14170,4491969
,Guyana,1596,1312,75520
,Collectivity of Saint Martin,1591,46,12324
,Antigua and Barbuda,1572,146,9106
,Jersey,1555,161,66391
,Luxembourg,1530,1000,401653
,United States Virgin Islands,1525,132,25389
,Cyprus,1450,1364,718887
,Caribbean Netherlands,1430,41,11922
,Canada,1424,55282,4819055
,Namibia,1422,4110,172557
,Israel,1395,12707,4841703
,French Guiana,1384,413,98041
,Isle of Man,1378,116,38008
,Seychelles,1370,172,51899
,Netherlands,1283,22986,8657484
,Jamaica,1279,3634,157668
,Albania,1275,3608,337234
,Jordan,1254,14122,1746997
,Saint Vincent and the Grenadines,1214,124,9674
,Eswatini,1170,1427,75356
,Turkey,1164,101419,17004726
,Botswana,1148,2801,330699
,Guatemala,1132,20205,1255469
,Dominica,1107,74,16047
,New Caledonia,1093,314,80203
,Malaysia,1076,37351,5329836
,Palestine,1075,5708,703228
,Honduras,1062,11114,473042
,Réunion,1056,921,494595
,Guernsey,1050,67,35326
,Norway,1050,5732,1552197
,Azerbaijan,1005,10353,836510
,Bahrain,1001,1536,696614
,Saint Kitts and Nevis,984,46,6607
,Oman,978,4628,399449
,Australia,963,25236,11861161
,Fiji,962,885,69047
,Kazakhstan,951,19072,1504370
,Turks and Caicos Islands,893,41,6935
,Libya,891,6437,507269
,Northern Mariana Islands,889,41,14985
,New Zealand,884,4538,2668236
,Anguilla,844,12,3904
,Mauritius,841,1074,332300
,Cabo Verde,802,417,64550
,Wallis and Futuna,782,9,3760
,Belarus,775,7118,994102
,Cuba,771,8530,1113834
,Sri Lanka,740,16907,672812
,Taiwan,739,17672,9970937
,American Samoa,702,34,8359
,South Korea,693,35934,34571873
,El Salvador,673,4230,202066
,Mongolia,630,2136,1011489
,Mayotte,612,187,42027
,Maldives,602,316,186694
,Japan,597,74694,33803572
,Philippines,586,66864,4173631
,Indonesia,581,162059,6830274
,Federated States of Micronesia,579,65,31765
,Iraq,575,25375,2465545
,Palau,562,10,6372
,Kuwait,559,2570,667290
,Faroe Islands,518,28,34658
,Cayman Islands,516,37,31472
,Iceland,489,186,211291
,Thailand,487,34999,5428267
,Saint Barthélemy,456,5,5507
,Morocco,436,16305,1279115
,Vietnam,433,43206,11624000
,Marshall Islands,424,17,16297
,Nepal,404,12034,1003968
,Brunei,399,182,350550
,Dominican Republic,390,4384,661103
,Greenland,374,21,11971
,India,374,533849,45056221
,Myanmar,362,19494,643401
,Singapore,358,2024,3006155
,Zimbabwe,357,5740,266436
,Sao Tome and Principe,353,80,6771
,Saint Pierre and Miquelon,347,2,3426
,Lesotho,310,709,36140
,Saudi Arabia,299,9646,841469
,Solomon Islands,254,199,25954
,Qatar,238,690,514524
,United Arab Emirates,229,2349,1067030
,Egypt,220,24830,516023
,Venezuela,207,5856,552745
,Mauritania,204,997,63891
,Zambia,202,4078,349892
,Afghanistan,197,7998,235214
,Comoros,193,161,9109
,Kiribati,183,24,5085
,Cambodia,177,3056,139326
,Bangladesh,174,29531,2052280
,Macau,174,121,3514
,Djibouti,166,189,15690
,Algeria,151,6881,272440
,Kyrgyzstan,147,1024,88953
,Samoa,144,31,17057
,Gambia,141,372,12627
,Syria,140,3163,57423
,Cook Islands,135,2,7375
,Malawi,130,2686,89168
,Gabon,126,307,49069
,Pakistan,125,30656,1580631
,Tonga,123,13,16992
,Senegal,111,1972,89440
,Rwanda,107,1468,133274
,Kenya,104,5689,344162
,Sudan,102,5046,63993
,Equatorial Guinea,101,183,17130
,Timor-Leste,100,138,23460
,Tuvalu,99,1,2943
,Laos,88,671,219060
,China[c],85,122398,99381761
,Nauru,84,1,5393
,Guinea-Bissau,84,177,9614
,Uganda,76,3632,172234
,Somalia,76,1361,27334
,Haiti,74,860,34901
,Cameroon,71,1974,125325
,Mozambique,68,2252,233935
,Papua New Guinea,65,670,46864
,Republic of the Congo,64,389,25234
,Ethiopia,60,7574,501339
,Yemen,56,2159,11945
,Liberia,54,294,8090
,Angola,54,1937,107487
,Madagascar,46,1428,68853
,Vanuatu,44,14,12019
,Ghana,44,1463,172843
,Nicaragua,36,245,16808
,Togo,35,290,39564
,Guinea,33,468,38594
,Mali,32,743,33236
,Eritrea,30,103,10189
,Uzbekistan,29,1016,175158
,Ivory Coast,27,835,88434
,Bhutan,26,21,62954
,Central African Republic,22,113,15493
,Burkina Faso,17,400,22231
,Sierra Leone,15,126,7985
,Democratic Republic of the Congo,14,1474,101010
,Nigeria,14,3155,267237
,South Sudan,13,147,18873
,Tanzania,13,846,43655
,Niger,12,315,9591
,Tajikistan,12,125,17786
,Benin,11,163,28036
,Chad,10,194,7702
,Burundi,1,15,54569
,Vatican City,0,0,26
,Niue,0,0,1092
,Falkland Islands,0,0,1923
,"Saint Helena, Ascension and Tristan da Cunha",0,0,2166
,Pitcairn Islands,0,0,4
,Tokelau,0,0,80
,North Korea,0,0,0
,Turkmenistan,0,0,0
"↑ Countries which do not report data for a column are not included in that column's world total. ↑ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ↑ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","↑ Countries which do not report data for a column are not included in that column's world total. ↑ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ↑ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","↑ Countries which do not report data for a column are not included in that column's world total. ↑ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ↑ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","↑ Countries which do not report data for a column are not included in that column's world total. ↑ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ↑ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","↑ Countries which do not report data for a column are not included in that column's world total. ↑ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ↑ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
